Şirket İsmi,Arz Tarihi,Arz Şekli,Fonun Kullanım Yeri,Fiyat İstikrarı,Satmama Taahhüdü,Halka Açıklık Oranı,Şehir,Kuruluş Yılı,Gelir Tablosu Verileri
Birleşim Yeşil Enerji A.Ş.,Hazırlanıyor...,"
                    - Sermaye Artırımı : 77.000.000 Lot
                    - Ortak Satışı : 19.250.000 Lot (Mesut Altan)
                    - Ortak Satışı : 19.250.000 Lot (İdris Çakır)
* Taslak İzahname, Sayfa 1.
","
                    - %35-45 Şirket ve bağlı ortaklıklarının finansal yapısının güçlendirilmesi ve finansman maliyetinin azaltılması. 
                    - %25-35 İnorganik büyüme finansmanı. 
                    - %15-25 Elektrik enerjisi üretim kapasitesi artırımı. 
                    - %5-15 Yenileme yatırımlarında kullanılması. 
* Taslak İzahname, Sayfa 239.
","
                    - Planlanmamaktadır. 
* Taslak İzahname, Sayfa 235.
","
                    - 1 Yıl, İhraççı. 
                    - 1 Yıl, Ortaklar. 
* Taslak İzahname, Sayfa 236.
","
                    - %20,02. 
* Taslak İzahname, Sayfa 218.
",Şehir : İstanbul,Kuruluş Tarihi : 13.09.1978 (26.01.2022),"; - Hasılat, 361,9 Milyon TL, 376,5 Milyon TL, 92,4 Milyon TL; - Brüt Kâr, 130,5 Milyon TL, 139,8 Milyon TL, 46,5 Milyon TL"
Ic Enterra Yenilenebilir Enerji A.Ş.,27-28-29 Mart 2024,"
                    - Sermaye Artırımı : 226.986.323 Lot
                    - Ortak Satışı : 142.579.394 Lot (Ic İçtaş İnşaat San. ve Tic. A.Ş.)
* SPK Bülten, 2024/16.
","
                    - %8-15 Bağıştaş GES(Güneş Enerjisi Santrali) projesi. 
                    - %25-55 Erzin-2 GES(Güneş Enerjisi Santrali) projesi. 
                    - %10-20 Depolamalı RES(Rüzgar Enerjisi Santrali) ve GES(Güneş Enerjisi Santrali) projeleri. 
                    - %25-40 Yeni yenilenebilir enerji santrali yatırımları. 
* İzahname, Sayfa 362.
","
                    - 15 gün. 
                    (Ak Yatırım Menkul Değerler A.Ş.)
* İzahname, Sayfa 357.
","
                    - 1 Yıl, İhraççı. 
                    - 1 Yıl, Ortaklar. 
* İzahname, Sayfa 359.
","
                    - %20,03. 
* İzahname, Sayfa 309.
",Şehir : Ankara,Kuruluş Tarihi : 11.03.2019,"; - Hasılat, 2,8 Milyar TL, 3,1 Milyar TL, 1,6 Milyar TL; - Brüt Kâr, 1,2 Milyar TL, 2,1 Milyar TL, 796,5 Milyon TL"
Ecogreen Enerji Holding A.Ş.,Hazırlanıyor...,"
                    - Sermaye Artırımı : 100.000.000 Lot
                    - Ortak Satışı : 20.000.000 Lot (Osman Uğurlu)
* Taslak İzahname, Sayfa 1.
","
                    - %50-60 Kısa vadeli borçların azaltılması. 
                    - %40-50 Enerji sektöründeki yeni yatırım fırsatlarının değerlendirilmesi. 
* Taslak İzahname, Sayfa 362.
","
                    - 15 gün. 
* Taslak İzahname, Sayfa 359.
","
                    - 1 Yıl, İhraççı. 
                    - 1 Yıl, Ortaklar. 
* Taslak İzahname, Sayfa 360.
","
                    - %22,64. 
* Taslak İzahname, Sayfa 337.
",Şehir : Denizli,Kuruluş Tarihi : 29.12.2020,"; - Hasılat, 1,2 Milyar TL, 612,0 Milyon TL, 245,7 Milyon TL; - Brüt Kâr, 281,3 Milyon TL, 144,5 Milyon TL, 126,4 Milyon TL"
-,-,-,-,-,-,-,-,-,
Artemis Halı A.Ş.,27-28 Şubat 2024,"
                    - Sermaye Artırımı : 20.000.000 Lot
* SPK Bülteni, 2024/12.
","
                    - %40-50 Makine & teçhizat yatırımları, çatı güneş enerjisi santrali (GES) yatırımları. 
                    - %25-30 Finansal borçların geri ödemesi. 
                    - %25-30 İşletme sermayesi. 
* İzahname, Sayfa 198.
","
                    - Planlanmamaktadır. 
* İzahname, Sayfa 195.
","
                    - 1 Yıl, İhraççı. 
                    - 1 Yıl, Ortaklar. 
* İzahname, Sayfa 196.
","
                    - %28,57. 
* İzahname, Sayfa 184.
",Şehir : İstanbul,Kuruluş Tarihi : 16.07.2012,"; - Hasılat, 517,4 Milyon TL, 313,0 Milyon TL, 217,2 Milyon TL; - Brüt Kar, 177,3 Milyon TL, 127,9 Milyon TL, 58,3 Milyon TL"
Koray Holding A.Ş.,-,-,-,-,-,-,-,-,
-,-,-,-,-,-,-,-,-,
-,-,-,-,-,-,-,-,-,
-,-,-,-,-,-,-,-,-,
-,-,-,-,-,-,-,-,-,
Multınet Kurumsal Hizmetler A.Ş.,Hazırlanıyor...,"
                    - Ortak Satışı : 24.153.780 Lot (Fin Tech Invest B.V.)
* Taslak İzahname, Sayfa 1.
","
                    - Halka arz, mevcut ortak paylarının halka arz kapsamında satılması yoluyla gerçekleştirileceğinden Şirket herhangi bir gelir elde etmeyecektir. 
* Taslak İzahname, Sayfa 229.
","
                    - Planlanmamaktadır. 
* Taslak İzahname, Sayfa 225.
","
                    - 1 Yıl, İhraççı. 
                    - 1 Yıl, Ortaklar. 
* Taslak İzahname, Sayfa 226.
","
                    - %30. 
* Taslak İzahname, Sayfa 208.
",Şehir : İstanbul,Kuruluş Tarihi : 29.06.1999,"; - Hasılat, 771,9 Milyon TL, 847,8 Milyon TL, 341,8 Milyon TL; - Brüt Kar, 441,1 Milyon TL, 387,1 Milyon TL, 162,6 Milyon TL"
-,-,-,-,-,-,-,-,-,
-,-,-,-,-,-,-,-,-,
Özyaşar Tel ve Galvanizleme San. A.Ş.,Hazırlanıyor...,"
                    - Sermaye Artırımı : 14.000.000 Lot
                    - Ortak Satışı : 4.800.000 Lot (Çokyaşar Holding A.Ş.)
                    - Ortak Satışı : 600.000 Lot (Ömer Çokyaşar)
                    - Ortak Satışı : 600.000 Lot (Derviş Ali Çokyaşar)
                    - Ek Ortak Satışı : 3.200.000 Lot (Çokyaşar Holding A.Ş.)
                    - Ek Ortak Satışı : 400.000 Lot (Ömer Çokyaşar)
                    - Ek Ortak Satışı : 400.000 Lot (Derviş Ali Çokyaşar)
* Taslak İzahname, Sayfa 1.
","
                    - %30 İşletme sermayesi. 
                    - %40 Finansman maliyetinin azaltılması. 
                    - %30 Yatırım finansmanı ve makine/teçhizat alımları. 
* Taslak İzahname, Sayfa 263.
","
                    - 30 gün. * Brüt halka arz gelirinin %20'si. 
* Taslak İzahname, Sayfa 258.
","
                    - 1 Yıl, İhraççı. 
                    - 1 Yıl, Ortaklar. 
* Taslak İzahname, Sayfa 260.
","
                    - %24,24. 
* Taslak İzahname, Sayfa 238.
",Şehir : İstanbul,Kuruluş Tarihi : 14.03.1973,"; - Hasılat, 2,7 Milyar TL, 3,2 Milyar TL, 1,6 Milyar TL; - Brüt Kar, 445,6 Milyon TL, 525,4 Milyon TL, 285,1 Milyon TL"
OutMedya İletişim A.Ş.,Hazırlanıyor...,-,-,-,-,-,Şehir : İstanbul,-,
Efeler Çiftliği Tarım ve Hayvancılık A.Ş.,-,-,-,-,-,-,Şehir : Aydın,Kuruluş Tarihi : 31.01.2011,
Armada Gıda Ticaret Sanayi A.Ş.,Hazırlanıyor...,"
                    - Sermaye Artırımı : 54.996.053 Lot
                    - Ortak Satışı : 5.505.698 Lot (Fethi Kalıpçı Sönmez)
                    - Ortak Satışı : 1.437.520 Lot (Mehmet Hayri Sönmez)
                    - Ortak Satışı : 6.805.729 Lot (Sadettin Saygın Sönmez)
* Taslak İzahname, Sayfa 1.
","
                    - %40-50 Devam eden fabrika yatırımı, (GES) Güneş Enerjisi Santrali yatırımı. 
                    - %10-15 Finansal borçların azaltılması. 
                    - %40-50 İşletme sermayesi. 
* Taslak İzahname, Sayfa 282.
","
                    - 30 gün. * Brüt halka arz gelirinin %20'si. 
* Taslak İzahname, Sayfa 278.
","
                    - 1 Yıl, İhraççı. 
                    - 1 Yıl, Ortaklar. 
* Taslak İzahname, Sayfa 281.
","
                    - %25. 
* Taslak İzahname, Sayfa 261.
",Şehir : Mersin,Kuruluş Tarihi : 21.07.1993,"; - Hasılat, 6,0 Milyar TL, 5,7 Milyar TL, 4,6 Milyar TL; - Brüt Kâr, 831,2 Milyon TL, 581,6 Milyon TL, 512,7 Milyon TL"
Akfen İnşaat Turizm ve Ticaret A.Ş.,Hazırlanıyor...,"
                    - Sermaye Artırımı : 100.542.838 Lot
                    - Ortak Satışı : 100.542.838 Lot (Akfen Holding A.Ş.)
* Taslak İzahname, Sayfa 1.
","
                    - %35-45 Finansal borçluluk seviyesinin azaltılması. 
                    - %55-65 Yatırım finansmanı. 
                    - %15 İşletme sermayesi. 
* Taslak İzahname, Sayfa 311.
","
                    - Planlanmamaktadır. 
* Taslak İzahname, Sayfa 304.
","
                    - 6 Ay, İhraççı. 
                    - 6 Ay, Ortaklar. 
* Taslak İzahname, Sayfa 309.
","
                    - %30. 
* Taslak İzahname, Sayfa 287.
",Şehir : Ankara,Kuruluş Tarihi : 06.10.1986,"; - Hasılat, 2,3 Milyar TL, 1,5 Milyar TL, 1,7 Milyar TL; - Brüt Kâr, (-)52,7 Milyon TL, (-)37,3 Milyon TL, 160,2 Milyon TL"
-,-,-,-,-,-,-,-,-,
-,-,-,-,-,-,-,-,-,
Büyük Hekimoğulları Gıda San. ve Tic. A.Ş.,Hazırlanıyor...,"
                    - %25-33 Güneş enerjisi santrali (GES) yatırımı. 
                    - %15-22 İlave hammadde deposu kapasite artışı yatırımı.  
                    - %9-11 Makine ve teçhizat yatırımı.  
                    - %30-40 İşletme sermayesi.  
* Taslak İzahname, Sayfa 188.
","
                    - Sermaye Artırımı : 125.000.000 Lot
                    - Ortak Satışı : 40.000.000 Lot (Adnan Hekimoğlu)
* Taslak İzahname, Sayfa 1.
","
                    - 30 gün. * Brüt halka arz gelirinin %20'si. 
* Taslak İzahname, Sayfa 186.
","
                    - 1 Yıl, İhraççı. 
                    - 1 Yıl, Ortaklar. 
* Taslak İzahname, Sayfa 186.
","
                    - %25,19. 
* Taslak İzahname, Sayfa 166.
",Şehir : Konya,Kuruluş Tarihi : 11.02.1985,"; - Hasılat, 488,1 Milyon TL, 1,3 Milyar TL, 579,5 Milyon TL; - Brüt Kar, 72,1 Milyon TL, 259,1 Milyon TL, 71,1 Milyon TL"
-,-,-,-,-,-,-,-,-,
Vişne Madencilik Üretim San. ve Tic. A.Ş.,Hazırlanıyor...,"
                    - Sermaye Artırımı : 17.000.000 Lot
                    - Ortak Satışı : 3.500.000 Lot (Urla Makina San. ve Tic. A.Ş.)
                    - Ortak Satışı : 857.507 Lot (Nejla Öztüre)
                    - Ortak Satışı : 794.472 Lot (Ecmel Öztüre)
                    - Ortak Satışı : 794.472 Lot (Cem Öztüre)
                    - Ortak Satışı : 794.472 Lot (Can Öztüre)
                    - Ortak Satışı : 70.000 Lot (Murat San)
                    - Ortak Satışı : 189.077 Lot (Nezih Öztüre)
* Taslak İzahname, Sayfa 1.
","
                    - %40-45 Çelemli fabrikası hammadde hazırlama tesis kurulumu, tüm destek ekipmanları ve altyapısı. 
                    - %5-10 Çelemli fabrikası hidrolik kireç karışım hattı kurulması. 
                    - %20-25 Narlı fabrikası kireç söndürme, sarım tesisi, büyük çuval dolumu, paketleme ve ambalaj tesisi. 
                    - %25-35 Narlı fabrikası mikronize kireç öğütme hattı ve ekipman kurulumu. 
* Taslak İzahname, Sayfa 228.
","
                    - 15 gün. * Brüt halka arz gelirinin %10'u. 
* Taslak İzahname, Sayfa 224.
","
                    - 1 Yıl, İhraççı. 
                    - 1 Yıl, Ortaklar. 
* Taslak İzahname, Sayfa 227.
","
                    - %20,51. 
* Taslak İzahname, Sayfa 203.
",Şehir : İzmir,Kuruluş Tarihi : 01.04.2010,"; - Hasılat, 985,0 Milyon TL, 1,0 Milyar TL, 680,2 Milyon TL; - Brüt Kâr, 259,7 Milyon TL, 304,9 Milyon TL, 174,0 Milyon TL"
Pasifik Donanım ve Yazılım Bilgi Teknolojileri A.Ş.,6-7 Şubat 2024,"
                    - Sermaye Artırımı : 14.000.000 Lot
                    - Ortak Satışı : 4.333.334 Lot (Fatih Erdoğan)
                    - Ortak Satışı : 4.333.333 Lot (Abdulkerim Fırat)
                    - Ortak Satışı : 4.333.333 Lot (Mehmet Erdoğan)
* SPK Bülteni, 2024/7.
","
                    - %45 Yatırım harcamaları. 
                    - %35 Ar-Ge yeni ürün yatırımları. 
                    - %20 İşletme sermayesi. 
* İzahname, Sayfa 213.
","
                    - 30 Gün  * Brüt halka arz gelirinin %10'u. 
* İzahname, Sayfa 209.
","
                    - 1 Yıl, İhraççı. 
                    - 1 Yıl, Ortaklar. 
* İzahname, Sayfa 211.
","
                    - %20,15. 
* İzahname, Sayfa 172.
",Şehir : İstanbul,Kuruluş Tarihi : 05.06.2015,"; - Hasılat, 481,0 Milyon TL, 403,5 Milyon TL, 258,2 Milyon TL; - Brüt Kar, 117,3 Milyon TL, 65,4 Milyon TL, 62,7 Milyon TL"
Zen Girişim Sermayesi Yatırım Ortaklığı A.Ş.,Hazırlanıyor...,"
                    - Sermaye Artırımı : 50.000.000 Lot
* Taslak İzahname, Sayfa 1.
","
                    - %70 Yeni girişim sermayesi yatırımları. 
                    - %30 İşletme sermayesi.  
* Taslak İzahname, 157.
","
                    - Planlanmamaktadır. 
* Taslak İzahname, Sayfa 154.
","
                    - 1 Yıl, İhraççı. 
                    - 1 Yıl, Ortaklar. 
* Taslak İzahname, Sayfa 155.
","
                    - %31,25. 
* Taslak İzahname, Sayfa 144.
",Şehir : İstanbul,-,"; - Hasılat, 257,7 Milyon TL, 226,5 Milyon TL, -; - Brüt Kar, 257,7 Milyon TL, 226,5 Milyon TL, -"
-,-,-,-,-,-,-,-,-,
-,-,-,-,-,-,-,-,-,
-,-,-,-,-,-,-,-,-,
-,-,-,-,-,-,-,-,-,
Acacia Maden İşletmeleri A.Ş.,Hazırlanıyor...,"
                    - Ortak Satışı : 46.800.000 Lot (Akfen Holding A.Ş.)
                    - Ortak Satışı : 46.800.000 Lot (İlbak Madencilik San. ve Tic. A.Ş.)
                    - Ortak Satışı : 23.400.000 Lot (BMA Madencilik San. ve Tic. A.Ş.)
* Taslak İzahname, Sayfa 1.
","
                    - Halka Arz Eden Pay Sahipleri, Akfen, İlbak ve BMA Madencilik’in mevcut paylarının halka arz kapsamında satılması yoluyla gerçekleştirileceğinden Şirket herhangi bir gelir elde etmeyecektir. 
* Taslak İzahname, Sayfa 265.
","
                    - Planlanmamaktadır. 
* Taslak İzahname, Sayfa 262.
","
                    - 6 Ay, İhraççı. 
                    - 6 Ay, Ortaklar. 
* Taslak İzahname, Sayfa 263.
","
                    - %30. 
* Taslak İzahname, Sayfa 236.
",Şehir : Ankara,Kuruluş Tarihi : 24.03.2010,"; - Hasılat, 5,8 Milyar TL, 3,7 Milyar TL, 1,7 Milyar TL; - Brüt Kâr, 2,4 Milyar TL, 1,5 Milyar TL, 872,1 Milyon TL"
Gülermak Ağır Sanayi İnşaat ve Taahhüt A.Ş.,Hazırlanıyor...,"
                    - Sermaye Artırımı : 12.750.000 Lot
                    - Ortak Satışı : 2.890.000 Lot (Gülermak Emlak Yapı İnşaat Yatırım A.Ş.)
                    - Ortak Satışı : 1.360.000 Lot (Gülermak Turizm İşletme Yatırım A.Ş.)
* Taslak İzahname, Sayfa 1.
","
                    - %45-50 Makine ve ekipman alımı. 
                    - %15-20 KÖİ Projesi işletme sermayesi. 
                    - %25-30 GES (Güneş Enerjisi Santrali) projesi finansmanı. 
                    - %2-10 Finansman maliyetinin azaltılması. 
* Taslak İzahname, Sayfa 214.
","
                    - 30 gün. * Brüt halka arz gelirinin %20'si. 
* Taslak İzahname, Sayfa 209.
","
                    - 1 Yıl, İhraççı. 
                    - 1 Yıl, Ortaklar. 
* Taslak İzahname, Sayfa 211.
","
                    - %18,33. 
* Taslak İzahname, Sayfa 189.
",Şehir : Ankara,Kuruluş Tarihi : 18.03.1976,"; - Hasılat, 18,3 Milyar TL, 15,4 Milyar TL, 13,7 Milyar TL; - Brüt Kâr, 1,9 Milyar TL, 267,0 Milyon TL, 9,7 Milyon TL"
-,-,-,-,-,-,-,-,-,
Uras Kimya San. ve Tic. A.Ş.,Hazırlanıyor...,"
                    - Sermaye Artırımı : 11.340.000 Lot
                    - Ortak Satışı : 4.860.000 Lot (Murat Özavşar)
* Taslak İzahname, Sayfa 1.
","
                    - %60 Finansal borcun kapatılması. 
                    - %40 İhracat yapılan ülkelerde satış ağının kurulması. 
* Taslak İzahname, Sayfa 160.
","
                    - Planlanmamaktadır. 
* Taslak İzahname, Sayfa 157.
","
                    - 1 Yıl, İhraççı. 
                    - 1 Yıl, Ortaklar. 
* Taslak İzahname, Sayfa 158.
","
                    - %25,24. 
* Taslak İzahname, Sayfa 145.
",Şehir : İstanbul,Kuruluş Tarihi : 19.08.1997,"; - Hasılat, 337,0 Milyon TL, 409,8 Milyon TL, 216,1 Milyon TL; - Brüt Kâr, 125,5 Milyon TL, 143,8 Milyon TL, 75,4 Milyon TL"
-,-,-,-,-,-,-,-,-,
-,-,-,-,-,-,-,-,-,
Ferbis Tarım Tic. ve San. A.Ş.,-,-,-,-,-,-,Şehir : Niğde,-,
-,-,-,-,-,-,-,-,-,
-,-,-,-,-,-,-,-,-,
-,-,-,-,-,-,-,-,-,
-,-,-,-,-,-,-,-,-,
-,-,-,-,-,-,-,-,-,
Kıraç Galvaniz Telekominikasyon Metal Makine İnşaat Elektrik San. ve Tic. A.Ş.,Hazırlanıyor...,"
                    - Sermaye Artırımı : 45.000.000 Lot
* Taslak İzahname, Sayfa 1.
","
                    - %40 İşletme sermayesi. 
                    - %35 Yeni tesis yatırımı. 
                    - %15 Finansal borç ödemeleri. 
                    - %7.5 Makine yatırım finansmanı. 
                    - %2.5 Yurt dışı pazar payının güçlendirilmesi. 
* Taslak İzahname, Sayfa 197.
","
                    - Planlanmamaktadır. 
* Taslak İzahname, Sayfa 194.
","
                    - 1 Yıl, İhraççı. 
                    - 1 Yıl, Ortaklar. 
* Taslak İzahname, Sayfa 195.
","
                    - %26,47. 
* Taslak İzahname, Sayfa 176.
",Şehir : Bursa,Kuruluş Tarihi : 23.05.2006,"; - Hasılat, 1,0 Milyar TL, 749,1 Milyon TL, 418,4 Milyon TL; - Brüt Kâr, 410,3 Milyon TL, 186,5 Milyon TL, 84,7 Milyon TL"
Batıliman Liman İşletmeleri A.Ş.,-,-,-,-,-,-,-,-,
-,-,-,-,-,-,-,-,-,
(n11) Doğuş Planet Elektronik Ticaret ve Bilişim Hizmetleri A.Ş.,Hazırlanıyor...,-,-,-,-,-,Şehir : İstanbul,-,
-,-,-,-,-,-,-,-,-,
IBS Isıtma Soğutma Havalandırma Taahhüt San. ve Tic. A.Ş.,Hazırlanıyor...,"
                    - Sermaye Artırımı : 2.500.000 Lot
                    - Ortak Satışı : 2.000.000 Lot
* Taslak İzahname, Sayfa 1.
","
                    - %32.5 Kredilerin geri ödenmesi. 
                    - %29 Yatırım harcamaları. 
                    - %38.5 İşletme sermayesi.  
* Taslak izahname, Sayfa 139.
","
               *** T1-T2 Uygun. 
",-,-,Şehir : İstanbul,Kuruluş Tarihi : 05.02.1997,
-,-,-,-,-,-,-,-,-,
-,-,-,-,-,-,-,-,-,
-,-,-,-,-,-,-,-,-,
Kırlıoğlu Kimya San. ve Tic. A.Ş.,Hazırlanıyor...,"
                    - Sermaye Artırımı : 50.000.000 Lot
                    - Ortak Satışı : 22.500.000 Lot (Hakan Kırlıoğlu)
* Taslak İzahname, Sayfa 1.
","
                    - %60-70 Amonyum nitrat üretim tesisi yatırımı. 
                    - %30-40 Hammadde tedariki ve işletme sermayesi. 
* Taslak İzahname, Sayfa 182.
","
                    - Planlanmamaktadır. 
* Taslak İzahname, Sayfa 179.
","
                    - 1 Yıl, İhraççı. 
                    - 1 Yıl, Ortaklar. 
* Taslak İzahname, Sayfa 180.
","
                    - %20,71. 
* Taslak İzahname, Sayfa 169.
",Şehir : Afyonkarahisar,Kuruluş Tarihi : 12.06.2000,"; - Hasılat, 1,7 Milyar TL, 1,6 Milyar TL, 838,7 Milyon TL; - Brüt Kâr, 813,9 Milyon TL, 777,2 Milyon TL, 335,6 Milyon TL"
Sur Tatil Evleri Gayrimenkul Yatırım Ortaklığı A.Ş.,7-8 Aralık 2023,"
                    - Sermaye Artırımı : 22.500.000 Lot
                    - Ortak Satışı : 22.500.000 Lot (Sur Yapı Endüstri San. ve Tic. A.Ş.)
* SPK Bülteni, 2023/76.
","
                    - %10-15 İşletme sermayesi. 
                    - %85-90 Sur Tatil Evleri Antalya Projesinin finansmanı.  
* İzahname, Sayfa 183.
","
                    - 1 Yıl, İhraççı. 
                    - 1 Yıl, Ortaklar. 
* İzahname, Sayfa 181.
","
                    - %13,43. 
* İzahname, Sayfa 139.
","
                    - %20.05. 
* Fiyat Tespit Raporu, Sayfa 28.
",Şehir : İstanbul,Kuruluş Tarihi : 24.03.2022,
Hareket Proje Taşımacılığı ve Yük Mühendisliği A.Ş.,Hazırlanıyor...,"
                    - Sermaye Artırımı : 19.200.000 Lot
                    - Ortak Satışı : 3.168.000 Lot (Ahmet Altunkum)
                    - Ortak Satışı : 672.000 Lot (Abdullah Altunkum)
                    - Ortak Satışı : 480.000 Lot (Samet Gürsu)
                    - Ortak Satışı : 240.000 Lot (Cemalettin Gürsu)
                    - Ortak Satışı : 144.000 Lot (Seddar Sacid Gürsu)
                    - Ortak Satışı : 96.000 Lot (Sena Gürsu)
* Taslak İzahname, Sayfa 1.
","
                    - %50-60 Makine, ekipman, tesis ve proje yatırımları. 
                    - %20-25 Finansal borçların ödenmesi. 
                    - %20-25 İşletme sermayesi. 
* Taslak İzahname, Sayfa 212.
","
                    - 30 gün. * Brüt halka arz gelirinin %(***)'i. 
* Taslak İzahname, Sayfa 207.
","
                    - 1 Yıl, İhraççı. 
                    - 1 Yıl, Ortaklar. 
* Taslak İzahname, Sayfa 210.
","
                    - %20,8. 
* Taslak İzahname, Sayfa 191.
",Şehir : İstanbul,Kuruluş Tarihi : 11.04.1985,"; - Hasılat, 1,0 Milyar TL, 943,2 Milyon TL, 703,4 Milyon TL; - Brüt Kâr, 392,4 Milyon TL, 299,9 Milyon TL, 203,8 Milyon TL"
Altınkılıç Gıda ve Süt San. Tic. A.Ş.,Hazırlanıyor...,"
                    - %80-85 İşletme sermayesi. 
                    - %15-20 Planlanan yatırımlar, reklam ve pazarlama finansmanı.  
* Taslak İzahname, Sayfa 219.
","
                    - Sermaye Artırımı : 33.885.000 Lot
* Taslak İzahname, Sayfa 2.
","
                    - 1 Yıl, İhraççı. 
                    - 1 Yıl, Ortaklar. 
* Taslak İzahname, Sayfa 217.
","
                    - %30,25. 
* Taslak İzahname, Sayfa 205.
","
                    - 2023 yılının ikinci yarısında tamamlanması planlanmaktadır. 
* Taslak İzahname, Sayfa 205.
",Şehir : İstanbul,Kuruluş Tarihi : 21.11.1996,"; - Hasılat, 265,6 Milyon TL, 811,5 Milyon TL, 391,7 Milyon TL; - Brüt Kar, 107,9 Milyon TL, 269,2 Milyon TL, 150,0 Milyon TL"
(enterprise) Yes Oto Kiralama ve Turizm Yatırımları A.Ş.,Hazırlanıyor...,"
                    - Sermaye Artırımı : 25.000.000 Lot
                    - Ortak Satışı : 10.000.000 Lot (Adnan Başdemir, Özarslan Abdulkadir Tangün, Mustafa Başdemir)
                    - Ek Ortak Satışı : 5.250.000 Lot (Adnan Başdemir, Özarslan Abdulkadir Tangün, Mustafa Başdemir)
* Taslak İzahname, Sayfa 1.
","
                    - %70 Yeni taşıt alımı, büyüme, yeni yatırımların finansmanı . 
                    - %30 İşletme sermayesi ve finansal borçların azaltılması.  
* Taslak İzahname, Sayfa 186.
","
                    - 30 gün. 
* Taslak İzahname, Sayfa 181.
","
                    - 1 Yıl, İhraççı. 
                    - 1 Yıl, Ortaklar. 
* Taslak İzahname, Sayfa 184.
","
                    - %25,16. Ek satış dahil. 
* Taslak İzahname, Sayfa 164.
",Şehir : İstanbul,Kuruluş Tarihi : 15.03.1990,"; - Hasılat, 2,6 Milyar TL, 2,7 Milyar TL, 2,0 Milyar TL; - Brüt Kar, 1,6 Milyar TL, 1,5 Milyar TL, 690,6 Milyon TL"
-,-,-,-,-,-,-,-,-,
Onur Yüksek Teknoloji A.Ş.,Hazırlanıyor...,"
                    - Sermaye Artırımı : 12.830.000 Lot
                    - Ortak Satışı : 3.200.000 Lot (Cengiz Dede)
                    - Ortak Satışı : 1.600.000 Lot (Noyan Burçin Dede)
                    - Ortak Satışı : 1.600.000 Lot (Tolga Dede)
                    - Ortak Satışı : 300.000 Lot (Zeynep Dede)
                    - Ortak Satışı : 200.000 Lot (Nurgül Dede)
* Taslak İzahname, Sayfa 1.
","
                    - %15 İşletme sermayesi. 
                    - %60 Yenilenebilir enerji yatırımları. 
                    - %15 Finansal borç ödemeleri. 
                    - %5 Ar-ge faaliyetleri. 
                    - %5 Ofis ve teknik alanlar kapasitesi artırımı. 
* Taslak İzahname, Sayfa 314.
","
                    - 1 Yıl, İhraççı. 
                    - 1 Yıl, Ortaklar. 
* Taslak İzahname, Sayfa 311.
","
                    - %31,40. 
* Taslak İzahname, Sayfa 301.
","
               ** Tamamı Eşit Dağıtım. 
               *** T1-T2 Uygun.
               ",Şehir : Ankara,Kuruluş Tarihi : 13.03.1991,"; - Hasılat, 402,1 Milyon TL, 295,4 Milyon TL, 158,8 Milyon TL; - Brüt Kâr, 242,9 Milyon TL, 121,9 Milyon TL, 90,8 Milyon TL"
-,-,-,-,-,-,-,-,-,
Netcad Yazılım A.Ş.,Hazırlanıyor...,"
                    - %30 Arge yatırımları. 
                    - %30 Yurtdışı yatırımlar.  
                    - %40 Şirket satın alma fırsatlarının değerlendirilmesi.  
* Taslak İzahname, Sayfa 214,215.
","
                    - Sermaye Artırımı : 5.000.000 Lot
                    - Ortak Satışı : 11.850.000 Lot (Eurocad Sarl.)
                    - Ortak Satışı : 3.150.000 Lot (Evon Yapı Proje İnş. Mühendislik Bilgisayar San. ve Tic. A.Ş.)
                    - Ek Ortak Satışı : 2.370.000 Lot (Eurocad Sarl.)
                    - Ek Ortak Satışı : 630.000 Lot (Evon Yapı Proje İnş. Mühendislik Bilgisayar San. ve Tic. A.Ş.)
* Taslak İzahname, Sayfa 1.
","
                    - 30 gün. 
* Taslak İzahname, Sayfa 210.
","
                    - %41,82. (Ek şatış ile) 
* Taslak İzahname, Sayfa 188.
","
               *** T1-T2 Kullanılamaz.
               ",Şehir : Ankara,-,
-,-,-,-,-,-,-,-,-,
-,-,-,-,-,-,-,-,-,
-,-,-,-,-,-,-,-,-,
-,-,-,-,-,-,-,-,-,
-,-,-,-,-,-,-,-,-,
Omega Elektrik Pano A.Ş.,Hazırlanıyor...,"
                    - Sermaye Artırımı : 11.600.000 Lot
* Taslak İzahname, Sayfa 1.
","
- İlerleyen aşamalarda güncellenecektir.
",-,-,-,Şehir : İstanbul,Kuruluş Tarihi : 15.07.2010,
-,-,-,-,-,-,-,-,-,
