Şirket İsmi,Arz Tarihi,Arz Şekli,Fonun Kullanım Yeri,Fiyat İstikrarı,Satmama Taahhüdü,Halka Açıklık Oranı,Şehir,Kuruluş Yılı,Gelir Tablosu Verileri
OutMedya İletişim A.Ş.,Hazırlanıyor...,,,,,,Şehir : İstanbul,,
Koç Metalurji A.Ş.,9-10 Mayıs 2024,"
                    - Sermaye Artırımı : 105.000.000 Lot
                    - Ortak Satışı : 20.000.000 Lot (Adil Koç)
* SPK Bülteni, 2024/22.
","
                    - %35 Hammadde yatırımı. 
                    - %10 Mevcut üretim tesisinin modernizasyonu. 
                    - %35 Yenilenebilir enerji yatırımlarının finansmanı. 
                    - %20 Hammadde tedariki ve işletme sermayesi. 
* İzahname, Sayfa 201.
","
                    - Planlanmamaktadır. 
* İzahname, Sayfa 196.
","
                    - 1 Yıl, İhraççı. 
                    - 1 Yıl, Ortaklar. 
* İzahname, Sayfa 198.
","
                    - %27,47. 
* İzahname, Sayfa 157.
",Şehir : Hatay,Kuruluş Tarihi : 18.11.1993,"; - Hasılat, 10,9 Milyar TL, 10,9 Milyar TL, 17,9 Milyar TL; - Brüt Kâr, 794,8 Milyon TL, 454,5 Milyon TL, 1,4 Milyar TL"
Armada Gıda Ticaret Sanayi A.Ş.,Hazırlanıyor...,"
                    - Sermaye Artırımı : 54.996.053 Lot
                    - Ortak Satışı : 5.505.698 Lot (Fethi Kalıpçı Sönmez)
                    - Ortak Satışı : 1.437.520 Lot (Mehmet Hayri Sönmez)
                    - Ortak Satışı : 6.805.729 Lot (Sadettin Saygın Sönmez)
* Taslak İzahname, Sayfa 1.
","
                    - %40-50 Devam eden fabrika yatırımı, (GES) Güneş Enerjisi Santrali yatırımı. 
                    - %10-15 Finansal borçların azaltılması. 
                    - %40-50 İşletme sermayesi. 
* Taslak İzahname, Sayfa 282.
","
                    - 30 gün. * Brüt halka arz gelirinin %20'si. 
* Taslak İzahname, Sayfa 278.
","
                    - 1 Yıl, İhraççı. 
                    - 1 Yıl, Ortaklar. 
* Taslak İzahname, Sayfa 281.
","
                    - %25. 
* Taslak İzahname, Sayfa 261.
",Şehir : Mersin,Kuruluş Tarihi : 21.07.1993,"; - Hasılat, 6,0 Milyar TL, 5,7 Milyar TL, 4,6 Milyar TL; - Brüt Kâr, 831,2 Milyon TL, 581,6 Milyon TL, 512,7 Milyon TL"
Formül Plastik ve Metal Sanayi A.Ş.,Hazırlanıyor...,"
                    - Sermaye Artırımı : 30.000.000 Lot
                    - Ortak Satışı : 10.000.000 Lot (Haydar Şahin)
* Taslak İzahname, Sayfa 1.
","
                    - %70 Yatırımlar. 
                    - %30 İşletme sermayesi. 
* Taslak İzahname, Sayfa 203.
","
                    - 1 Yıl, İhraççı. 
                    - 1 Yıl, Ortaklar. 
* Taslak İzahname, Sayfa 201.
","
                    - %25. 
* Taslak İzahname, Sayfa 180.
","
               ** Bireysele Eşit Dağıtım. 
               *** T1-T2 Kullanılamaz.
               ",Şehir : İstanbul,Kuruluş Tarihi : 10.01.1992,"; - Hasılat, 1,9 Milyar TL, 2,1 Milyar TL, 1,8 Milyar TL; - Brüt Kâr, 604,6 Milyon TL, 611,1 Milyon TL, 338,5 Milyon TL"
Üçay Mühendislik Enerji ve İklimlendirme Teknolojileri A.Ş.,Hazırlanıyor...,"
                    - Sermaye Artırımı : 55.000.000 Lot
                    - Ortak Satışı : 7.500.000 Lot (Ayhan Karacabey)
                    - Ortak Satışı : 7.500.000 Lot (Mustafa Bozkurt)
* Taslak İzahname, Sayfa 1.
","
                    - %35-45 İşletme sermayesi. 
                    - %15-25 Elektrikli araç şarj istasyonu ağları kurulumu. 
                    - %15-25 Güneş enerjisi santrali (GES) kurulumu ya da satın alınması. 
                    - %15-25 Operasyonel giderlerin azaltılması, sürdürülebilirlik yatırımları. 
* Taslak İzahname, Sayfa 304.
","
                    - 30 gün. * Brüt halka arz gelirinin %20'si. 
* Taslak İzahname, Sayfa 300.
","
                    - 1 Yıl, İhraççı. 
                    - 1 Yıl, Ortaklar. 
* Taslak İzahname, Sayfa 302.
","
                    - %30,44. 
* Taslak İzahname, Sayfa 279.
",Şehir : İstanbul,Kuruluş Tarihi : 24.11.2000,"; - Hasılat, 2,1 Milyar TL, 1,8 Milyar TL, 967,7 Milyon TL; - Brüt Kâr, 564,2 Milyon TL, 414,9 Milyon TL, 218,4 Milyon TL"
Omega Elektrik Pano A.Ş.,Hazırlanıyor...,"
                    - Sermaye Artırımı : 11.600.000 Lot
* Taslak İzahname, Sayfa 1.
","
- İlerleyen aşamalarda güncellenecektir.
",,,,Şehir : İstanbul,Kuruluş Tarihi : 15.07.2010,
Hdm Çelik Boru San. ve Tic. A.Ş.,Hazırlanıyor...,"
                    - %65-75 Yatırım harcamaları. 
                    - %25-35 İşletme sermayesi.  
- Taslak İzahname, Sayfa 197,198.
","
                    - Sermaye Artırımı : 16.666.667 Lot
                    - Ortak Satışı : 5.500.000 Lot (Muhiddin Murat Kandemir)
                    - Ortak Satışı : 5.500.000 Lot (Veysel Kurt)
                    - Ortak Satışı : 5.500.000 Lot (Ezgi Ayhan)
                    - Ortak Satışı : 166.667 Lot (Ayşe Banu Başkut)
                    - Ek Pay Ortak Satışı : 2.222.222 Lot (Muhiddin Murat Kandemir)
                    - Ek Pay Ortak Satışı : 2.222.222 Lot (Veysel Kurt)
                    - Ek Pay Ortak Satışı : 2.222.222 Lot (Ezgi Ayhan)
* Taslak İzahname, Sayfa 1.
","
                    - 6 Ay, İhraççı. 
                    - 6 Ay, Ortaklar. 
* Taslak İzahname, Sayfa 194,195.
","
                    - 30 gün. 
* Taslak İzahname, Sayfa 192.
","
                    - %10. 
* Taslak İzahname, Sayfa 175.
",Şehir : İstanbul,Kuruluş Tarihi : 29.11.2011,"; - Hasılat, 826,8 Milyon TL, 754,9 Milyon TL, 465,8 Milyon TL; - Brüt Kar, 242,8 Milyon TL, 197 Milyon TL, 101,2 Milyon TL"
Meysu Gıda San. ve Tic. A.Ş.,Hazırlanıyor...,"
                    - Sermaye Artırımı : 30.000.000 Lot
                    - Ortak Satışı : 13.000.000 Lot (Gülsan Gıda San. Tic. A.Ş.)
* Taslak İzahname, Sayfa 1.
","
                    - %20-30 İncesu OSB'de bunulan fabrikaya ilave meyve suyu konsantre hattı kurulması. 
                    - %20-30 İncesu OSB'de bunulan fabrikaya ilave meyve suyu plup hattı kurulması. 
                    - %20-30 İşletme sermayesi. 
                    - %10-20 Arazi ve çatı GES (Güneş Enerjisi Santrali) yatırımları. 
                    - %5-15 Kayseri OSB'de bulunan fabrikanın kapasite ve verimlilik artışına yönelik yatırım. 
* Taslak İzahname, Sayfa 254.
","
                    - 30 gün. * Brüt halka arz gelirinin %15'i. 
* Taslak İzahname, Sayfa 251.
","
                    - 1 Yıl, İhraççı. 
                    - 1 Yıl, Ortaklar. 
* Taslak İzahname, Sayfa 253.
","
                    - %20,48. 
* Taslak İzahname, Sayfa 233.
",Şehir : Kayseri,Kuruluş Tarihi : 31.12.2013,"; - Hasılat, 1,1 Milyar TL, 1,0 Milyar TL, 484,4 Milyon TL; - Brüt Kâr, 293,9 Milyon TL, 283,7 Milyon TL, 100,4 Milyon TL"
Tezkim Tarımsal Kimya San. ve Tic. A.Ş.,Hazırlanıyor...,"
                    - %25-35 İşletme sermayesi. 
                    - %15-25 Kısa vadeli işletme sermayesi kredilerinin kapatılması.  
                    - %30-50 Kapasite artışı, yeni yatırımlar.  
                    - %5-10 Arge - Ürge yatırımları.  
* Taslak izahname, Sayfa 201.
","
                    - Sermaye Artırımı : 11.000.000 Lot
                    - Ortak Satışı : 2.000.000 Lot (Tezcanlar Yatırım A.Ş.)
* Taslak İzahname, Sayfa 1.
","
                    - 180 Gün, İhraççı. 
                    - 6 Ay, Ortaklar. 
* Taslak İzahname, Sayfa 198.
","
                    - 30 gün. * Brüt halka arz gelirinin %20'si. 
* Taslak İzahname, Sayfa 197.
","
                    - %15,29. 
* Taslak İzahname, Sayfa 178.
",Şehir : Adana,Kuruluş Tarihi : 20.07.2005,"; - Hasılat, 457,9 Milyon TL, 901,3 Milyon TL, 322,4 Milyon TL; - Brüt Kar, 229,4 Milyon TL, 240,4 Milyon TL, 54,4 Milyon TL"
(n11) Doğuş Planet Elektronik Ticaret ve Bilişim Hizmetleri A.Ş.,Hazırlanıyor...,,,,,,Şehir : İstanbul,,
